"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"A001",131760,79009,78728,78680,55501,52147
"A002",204163,137164,136631,137006,104633,97464
"A003",166477,109995,109698,109833,74842,69970
"A004",90220,65792,65556,65562,57859,50689
"A005",118139,61497,61263,61329,28789,26528
"A006",105552,51929,51620,51852,31395,28924
"A007",224965,123144,122541,122961,92851,78297
"A008",202695,125038,124608,124710,99693,81696
"A009",213623,148880,148255,148139,129639,111523
"A010",200042,131840,131469,131494,101225,94012
"A011",131620,73432,73079,73098,43716,40758
"A012",187579,134816,134478,134368,120488,106737
"A013",98677,49396,49348,49264,19380,17850
"A014",112912,61776,61328,61728,36789,34882
"A015",129508,83021,82768,82804,55513,50971
"A016",73645,16945,16906,16797,9948,9878
"A017",121646,63792,63544,63751,25193,24073
"A018",110249,57202,56918,57043,21343,21124
"A019",79593,39516,39395,39376,14318,13339
"A020",58337,25796,25682,25650,13965,13734
"A021",104544,54574,54421,54454,27060,25534
"A022",129653,58879,58712,58767,21315,20504
"A023",148930,91794,91267,91699,55023,52934
"A024",180799,115362,115042,115299,75486,73227
"A025",100556,37726,37615,37647,8083,7302
"A026",103593,54516,54330,54467,34290,32675
"A027",126309,54006,53724,53820,8108,6782
"A028",88500,39403,39297,39401,2189,1696
"A029",71761,27125,27003,27119,2996,2676
"A030",87262,33583,33516,33406,3407,3054
"A031",54977,20268,20221,20227,2380,2186
"A032",91487,44438,44007,44317,6968,5964
"A033",89318,42130,41479,41925,3158,2709
"A034",82224,31042,30912,30941,3527,1474
"A035",125862,40383,40283,40219,11618,4037
"A036",150605,58275,58048,58135,20981,11967
"A037",91074,41801,41730,41580,15503,15046
"A038",83091,44215,43951,43944,12565,11942
"A039",96422,52554,52480,52525,19667,19008
"A040",103323,48574,47984,48451,9981,9619
"A041",121950,66910,66595,66873,25871,25450
"A042",82902,29088,28966,28914,10545,10342
"A043",144316,89299,89136,89140,69841,68357
"A044",99108,51819,51463,51561,39130,37578
"A045",147348,90271,90001,90162,54775,51637
"A046",150115,85662,85476,85588,36205,35233
"A047",135792,75536,75008,75338,38705,34488
"A048",147946,65708,65509,65451,31627,29473
"A049",96406,47136,46955,47110,8992,8915
"A050",88436,31143,31076,31112,6260,6147
"A051",93500,40257,40141,40001,8822,8632
"A052",166545,108323,107999,108052,80342,76886
"A053",145116,86689,86341,86510,47503,43393
"A054",71905,30942,30826,30769,6178,5390
"A055",165490,100826,100174,100520,48519,45382
"A056",108311,60989,60601,60875,34516,32280
"A057",141360,82857,82536,82622,42821,40407
"A058",110314,56240,55948,55970,27754,26602
"A059",217693,143150,142763,142505,106492,99683
"A060",142195,74577,74253,74374,42211,40395
"A061",270561,189452,188939,188935,149390,138039
"A062",311176,226978,226133,226572,196494,170483
"A063",83772,38048,37840,37908,23195,22311
"A064",210860,142583,142130,142150,98193,90879
"A065",146440,82911,82665,82375,39915,37038
"A066",181489,118956,118648,118790,85798,82179
"A067",75269,32740,32589,32713,0,0
"A068",103310,53574,53282,53434,42665,41470
"A069",266828,196824,196026,196372,156952,145364
"A070",265319,182418,181628,181725,147336,135724
"A071",231673,154383,153939,154044,122193,113784
"A072",271744,200894,199983,200239,167503,155063
"A073",276914,191957,191043,191441,157589,143105
"A074",93188,38698,38598,38592,1805,1752
"A075",309378,242118,241464,241778,216296,203022
"A076",169333,106495,106077,105921,89644,74605
"A077",101433,56398,56115,56292,32572,32054
"A078",325370,237280,236616,237005,194386,182887
"A079",194925,128715,128044,128389,99370,92270
"A080",193639,109878,109310,109529,74668,63668
"A082",279706,127415,127124,126777,99217,94312
"A083",98014,52260,52101,52175,9981,9828
"A084",102793,50458,50349,50433,20045,19805
"A085",112238,57561,57399,57335,14018,13861
"A086",189955,122706,122520,122533,87172,86229
"A087",213971,149541,149257,149322,103116,101166
"A088",276818,202516,201843,202048,169070,158180
"A089",274190,199718,198856,199066,170133,149958
"A090",240060,172937,172159,172121,142448,122922
